Gene,Non-unique Gene name,Annotation,CAI_ATCC_49725,CAI_ATCC_49726,CAI_BKPL_MKS099,CAI_BKPL_MSK070,CAI_BKPL_MSK091,CAI_BKPL_MSK096,CAI_BKPL_MSK109,CAI_BKPL_MSK121,CAI_BKPL_MSK125,CAI_BKPL_MSK161,CAI_BKPL_MSK270,CAI_BKPL_MSK273,CAI_DS_CA1,CAI_DS_CA2,CAI_DS_CA3,CAI_DS_CA4,CAI_DS_CA5,CAI_DS_CA6,CAI_DS_CA8,CAI_DS_CA9,CAI_KPL_079,CAI_KPL_1818,CAI_KPL_1824,CAI_KPL_1986,CAI_KPL_1996,CAI_KPL_1998,CAI_KPL_2004,CAI_KPL_2617,CAI_KPL_2618,CAI_KPL_2641,CAI_KPL_2652,CAI_KPL_2660,CAI_KPL_2783,CAI_KPL_2859,CAI_KPL_3647,CAI_KPL_3674,CAI_KPL_3703,CAI_KPL_3774,CAI_KPL_3802,CAI_KPL_3832,CAI_KPL_3921,CAI_KPL_3926,CAI_KPL_3970,CAI_KPL_4034,CAI_KPL_4065,CAI_KPL_4075,CAI_KPL_MKS076,CAI_KPL_MSK075,CAI_KPL_MSK077,CAI_LRK_p3_SID1129,CAI_MAM_C779,CAI_MAM_C781,CAI_MAM_C787,CAI_SDB_Cl5570,CAI_SDB_Cl6012,CAI_SH_157,CAI_SH_192,CAI_SH_219,CAI_SH_23,CAI_SH_247,CAI_SH_281,CAI_SH_41,CAI_strain_NCTC934,CAII_SH_79,CAII_SH_98,CAII_DS_CA7,CAII_SDB_CI5886,CAII_SH_184,CAIII_KPL_1855,CAIII_SH_262,CAIV_SDB_Cl5456,CM_strain_06T638,CM_strain_12T220,CM_strain_12T66,CM_strain_14T168,CM_strain_14T424,CM_strain_14T514,CM_strain_14T631,CM_strain_150801,CM_strain_151011,CM_strain_160430,CM_strain_160603,CM_strain_160806,CM_strain_160811,CM_strain_160812,CM_strain_161211,CM_strain_170718,CM_strain_171015,CM_strain_171203,CM_strain_180126,CM_strain_180208,CM_strain_180216,CM_strain_9T245,CM_strain_CCUG_32361,CM_strain_NML_080212,CM_strain_NML_120205
groS,groS,10 kDa chaperonin,BHJAACOI_00558,HKMEEOOC_00555,GENJCMKD_00849,GGNGMLNM_00957,FLPOMCPC_00717,FLNKFIAL_00748,GCMCGMEO_00631,KKDHGCNG_01233,KEENHLLD_01699,JLFNHPIJ_00857,CODCKMBH_01126,KIHHBJFA_01615,NANKJKFF_01225,CCGNCHJI_01160,GOFIAKIM_00899,DGCFMGAJ_00944,AACCAIGM_00629,GMEDNMEP_01171,FLLDPPMF_00584,LNLCNHAK_02048,KNGAMNHF_01542,LKGNFBEP_00977,KICAILHA_00604,MCNPKDLJ_02228,AACNPDCK_00606,GMLEFHEO_00220,KFNCPDAP_00598,IGDBGLLD_00116,OMFMOMKF_00112,HODLAEJM_02115,AFHPBIAF_01572,LHCGKHIJ_00714,AJEFBAEL_01560,OCDCHEMI_01274,CJKJNNNG_00689,EIGELMEO_01108,NGNHBKMG_00619,MEOJENFF_01137,KEGECLGJ_01091,AHOPDIHB_00627,CJININDG_01001,NDOGBOAP_00969,OAPFOPAL_01411,ACJGFGPL_01565,JGGIPLAJ_00677,PLGHJMOG_00558,LJBGMHMC_01165,DKGGAEON_01009,LIONBGAB_01077,BCBJMMFG_01861,FNKBOAAJ_00210,NBIGHBNP_00222,ABCKMHNF_00674,HAGCGINO_01200,HDNBEOBM_01135,CHKDFDKC_00470,FJKFCLGL_00527,BOLJFBOD_00495,KGEDCIMK_00644,OGANKOBH_00521,KHIGLMDP_01594,KCBPFIDL_00981,PGGCOMJD_00465,LDPIAJMB_00489,JHDPCHFA_00485,PGMBCLCL_01042,LEOIACCC_00749,OGHHNOBM_02113,HLJAHNNN_02139,HMAEAGFH_01833,JMBHJBPL_00506,LIOCNLML_01338,MMNKDKJC_02300,CIPIHPAA_00954,OHJNIDKA_00400,IHELPHKG_01844,JBLCIMDH_02175,OFEFOHCO_02059,BJBHHKKH_01554,HCNPNPGF_00980,BHFJFGML_01241,CCMCAHCO_01186,MLMKMFAK_01813,FMPCHCOO_01795,KDJAJFCO_01893,OHHPPKJL_02126,BADHAMCG_00565,DDALPCGJ_02078,HHABANBK_01027,IBMNCEGB_00744,OHPNAJOO_00397,CHPLCDPL_01970,EAOLOMHJ_00057,EKOBKANM_00244,DIAOIDPF_00123,IIDBPGJP_00780
group_2415,,hypothetical protein,BHJAACOI_01554,HKMEEOOC_02183,GENJCMKD_02000,GGNGMLNM_01588,FLPOMCPC_01875,FLNKFIAL_01828,GCMCGMEO_01476,KKDHGCNG_01531,KEENHLLD_01815,JLFNHPIJ_01205,CODCKMBH_02076,KIHHBJFA_01853,NANKJKFF_01288,CCGNCHJI_01017,GOFIAKIM_01234,DGCFMGAJ_01053,AACCAIGM_01406,GMEDNMEP_01502,FLLDPPMF_00831,LNLCNHAK_00812,KNGAMNHF_01231,LKGNFBEP_00170,KICAILHA_02279,MCNPKDLJ_01447,AACNPDCK_02278,GMLEFHEO_02267,KFNCPDAP_02265,IGDBGLLD_02443,OMFMOMKF_01555,HODLAEJM_00343,AFHPBIAF_02153,LHCGKHIJ_00453,AJEFBAEL_01514,OCDCHEMI_00528,CJKJNNNG_01702,EIGELMEO_00271,NGNHBKMG_01589,MEOJENFF_01448,KEGECLGJ_00685,AHOPDIHB_01712,CJININDG_01557,NDOGBOAP_01995,OAPFOPAL_00423,ACJGFGPL_00898,JGGIPLAJ_01599,PLGHJMOG_01076,LJBGMHMC_02221,DKGGAEON_01489,LIONBGAB_02221,BCBJMMFG_01907,FNKBOAAJ_00978,NBIGHBNP_01947,ABCKMHNF_01492,HAGCGINO_01455,HDNBEOBM_00353,CHKDFDKC_02091,FJKFCLGL_02131,BOLJFBOD_02107,KGEDCIMK_01717,OGANKOBH_02141,KHIGLMDP_00902,KCBPFIDL_01730,PGGCOMJD_02029,LDPIAJMB_02136,JHDPCHFA_02251,PGMBCLCL_00325,LEOIACCC_01047,OGHHNOBM_01405,HLJAHNNN_01852,HMAEAGFH_02102,JMBHJBPL_01717,LIOCNLML_00652,MMNKDKJC_02449,CIPIHPAA_01415,OHJNIDKA_01031,IHELPHKG_01617,JBLCIMDH_01096,OFEFOHCO_00123,BJBHHKKH_00224,HCNPNPGF_00160,BHFJFGML_00377,CCMCAHCO_01025,MLMKMFAK_00148,FMPCHCOO_00587,KDJAJFCO_01585,OHHPPKJL_00961,BADHAMCG_02143,DDALPCGJ_02337,HHABANBK_00420,IBMNCEGB_01788,OHPNAJOO_01063,CHPLCDPL_01694,EAOLOMHJ_01100,EKOBKANM_01869,DIAOIDPF_01793,IIDBPGJP_01032
sseB,sseB,Putative thiosulfate sulfurtransferase SseB,BHJAACOI_01556,HKMEEOOC_02178,GENJCMKD_01998,GGNGMLNM_01590,FLPOMCPC_01873,FLNKFIAL_01830,GCMCGMEO_01478,KKDHGCNG_01533,KEENHLLD_01817,JLFNHPIJ_01207,CODCKMBH_02074,KIHHBJFA_01851,NANKJKFF_01290,CCGNCHJI_01019,GOFIAKIM_01232,DGCFMGAJ_01051,AACCAIGM_01408,GMEDNMEP_01500,FLLDPPMF_00829,LNLCNHAK_00810,KNGAMNHF_01233,LKGNFBEP_00168,KICAILHA_02277,MCNPKDLJ_01445,AACNPDCK_02276,GMLEFHEO_02265,KFNCPDAP_02263,IGDBGLLD_02445,OMFMOMKF_01553,HODLAEJM_00341,AFHPBIAF_02151,LHCGKHIJ_00455,AJEFBAEL_01512,OCDCHEMI_00526,CJKJNNNG_01700,EIGELMEO_00273,NGNHBKMG_01587,MEOJENFF_01446,KEGECLGJ_00687,AHOPDIHB_01714,CJININDG_01559,NDOGBOAP_01993,OAPFOPAL_00425,ACJGFGPL_00900,JGGIPLAJ_01601,PLGHJMOG_01078,LJBGMHMC_02219,DKGGAEON_01487,LIONBGAB_02219,BCBJMMFG_01909,FNKBOAAJ_00976,NBIGHBNP_01945,ABCKMHNF_01490,HAGCGINO_01453,HDNBEOBM_00351,CHKDFDKC_02089,FJKFCLGL_02129,BOLJFBOD_02105,KGEDCIMK_01719,OGANKOBH_02139,KHIGLMDP_00904,KCBPFIDL_01732,PGGCOMJD_02027,LDPIAJMB_02134,JHDPCHFA_02249,PGMBCLCL_00323,LEOIACCC_01045,OGHHNOBM_01403,HLJAHNNN_01854,HMAEAGFH_02100,JMBHJBPL_01715,LIOCNLML_00654,MMNKDKJC_02451,CIPIHPAA_01413,OHJNIDKA_01029,IHELPHKG_01615,JBLCIMDH_01094,OFEFOHCO_00121,BJBHHKKH_00226,HCNPNPGF_00158,BHFJFGML_00379,CCMCAHCO_01027,MLMKMFAK_00150,FMPCHCOO_00585,KDJAJFCO_01583,OHHPPKJL_00963,BADHAMCG_02141,DDALPCGJ_02339,HHABANBK_00422,IBMNCEGB_01790,OHPNAJOO_01061,CHPLCDPL_01692,EAOLOMHJ_01098,EKOBKANM_01871,DIAOIDPF_01791,IIDBPGJP_01030
group_2413,,hypothetical protein,BHJAACOI_01220,HKMEEOOC_01546,GENJCMKD_01630,GGNGMLNM_00400,FLPOMCPC_01124,FLNKFIAL_01172,GCMCGMEO_01202,KKDHGCNG_00850,KEENHLLD_00593,JLFNHPIJ_00287,CODCKMBH_00270,KIHHBJFA_00642,NANKJKFF_00502,CCGNCHJI_00133,GOFIAKIM_00183,DGCFMGAJ_00193,AACCAIGM_00222,GMEDNMEP_00314,FLLDPPMF_00084,LNLCNHAK_00212,KNGAMNHF_00838,LKGNFBEP_01652,KICAILHA_01620,MCNPKDLJ_00768,AACNPDCK_01597,GMLEFHEO_01127,KFNCPDAP_01322,IGDBGLLD_01146,OMFMOMKF_01853,HODLAEJM_00827,AFHPBIAF_00743,LHCGKHIJ_01177,AJEFBAEL_00704,OCDCHEMI_01071,CJKJNNNG_01138,EIGELMEO_01323;EIGELMEO_01324,NGNHBKMG_00244,MEOJENFF_01582,KEGECLGJ_01294,AHOPDIHB_01202,CJININDG_00790,NDOGBOAP_01499,OAPFOPAL_01830,ACJGFGPL_00741,JGGIPLAJ_01239,PLGHJMOG_01747,LJBGMHMC_00638,DKGGAEON_00478,LIONBGAB_00632,BCBJMMFG_00195,FNKBOAAJ_00606,NBIGHBNP_00765,ABCKMHNF_00384,HAGCGINO_00726,HDNBEOBM_00818,CHKDFDKC_01461,FJKFCLGL_01509,BOLJFBOD_01476,KGEDCIMK_00806,OGANKOBH_01505,KHIGLMDP_00304,KCBPFIDL_02429,PGGCOMJD_01419,LDPIAJMB_01483,JHDPCHFA_01548,PGMBCLCL_00743,LEOIACCC_00560,OGHHNOBM_00762,HLJAHNNN_00481,HMAEAGFH_00450,JMBHJBPL_00162,LIOCNLML_01689,MMNKDKJC_01831,CIPIHPAA_00648,OHJNIDKA_00766,IHELPHKG_01399,JBLCIMDH_00911,OFEFOHCO_01304,BJBHHKKH_00719,HCNPNPGF_02317,BHFJFGML_01654,CCMCAHCO_00947,MLMKMFAK_01346,FMPCHCOO_00820,KDJAJFCO_02197,OHHPPKJL_01451,BADHAMCG_01053,DDALPCGJ_00008,HHABANBK_00518,IBMNCEGB_00518,OHPNAJOO_01434,CHPLCDPL_00182,EAOLOMHJ_00372,EKOBKANM_00569,DIAOIDPF_00907,IIDBPGJP_00122
ribF,ribF;,Bifunctional riboflavin kinase/FMN adenylyltransferase;hypothetical protein,BHJAACOI_01216,HKMEEOOC_01551,GENJCMKD_01626,GGNGMLNM_00404,FLPOMCPC_01120,FLNKFIAL_01176,GCMCGMEO_01206,KKDHGCNG_00846,KEENHLLD_00597,JLFNHPIJ_00291,CODCKMBH_00274,KIHHBJFA_00646,NANKJKFF_00506,CCGNCHJI_00137,GOFIAKIM_00179,DGCFMGAJ_00197,AACCAIGM_00218,GMEDNMEP_00318,FLLDPPMF_00088,LNLCNHAK_00208,KNGAMNHF_00842,LKGNFBEP_01648,KICAILHA_01624,MCNPKDLJ_00772,AACNPDCK_01601,GMLEFHEO_01131,KFNCPDAP_01318,IGDBGLLD_01150,OMFMOMKF_01849,HODLAEJM_00823,AFHPBIAF_00739,LHCGKHIJ_01173,AJEFBAEL_00708,OCDCHEMI_01075,CJKJNNNG_01142,EIGELMEO_01319,NGNHBKMG_00248,MEOJENFF_01586,KEGECLGJ_01298,AHOPDIHB_01206,CJININDG_00786,NDOGBOAP_01503,OAPFOPAL_01826,ACJGFGPL_00745,JGGIPLAJ_01235,PLGHJMOG_01751,LJBGMHMC_00634,DKGGAEON_00474,LIONBGAB_00628,BCBJMMFG_00199,FNKBOAAJ_00602,NBIGHBNP_00761,ABCKMHNF_00380,HAGCGINO_00730;HAGCGINO_00731,HDNBEOBM_00822,CHKDFDKC_01465,FJKFCLGL_01513,BOLJFBOD_01480,KGEDCIMK_02000,OGANKOBH_01509,KHIGLMDP_00300,KCBPFIDL_02433,PGGCOMJD_01423,LDPIAJMB_01487,JHDPCHFA_01552,PGMBCLCL_00739,LEOIACCC_00564,OGHHNOBM_00766,HLJAHNNN_00477,HMAEAGFH_00446,JMBHJBPL_00158,LIOCNLML_01685,MMNKDKJC_01835,CIPIHPAA_00644,OHJNIDKA_00770,IHELPHKG_01395,JBLCIMDH_00907,OFEFOHCO_01300,BJBHHKKH_00715,HCNPNPGF_02313,BHFJFGML_01658,CCMCAHCO_00951,MLMKMFAK_01350,FMPCHCOO_00824,KDJAJFCO_02201,OHHPPKJL_01455,BADHAMCG_01049,DDALPCGJ_00004,HHABANBK_00522,IBMNCEGB_00514,OHPNAJOO_01430,CHPLCDPL_00178,EAOLOMHJ_00376,EKOBKANM_00573,DIAOIDPF_00911,IIDBPGJP_00118
group_2411,,hypothetical protein,BHJAACOI_00103,HKMEEOOC_00101,GENJCMKD_02194,GGNGMLNM_02021,FLPOMCPC_02029,FLNKFIAL_01957,GCMCGMEO_02055,KKDHGCNG_02124,KEENHLLD_02353,JLFNHPIJ_01699,CODCKMBH_01885,KIHHBJFA_01998,NANKJKFF_01607,CCGNCHJI_01637,GOFIAKIM_01469,DGCFMGAJ_01677,AACCAIGM_01519,GMEDNMEP_01595,FLLDPPMF_01285,LNLCNHAK_01100,KNGAMNHF_01714,LKGNFBEP_00497,KICAILHA_00108,MCNPKDLJ_01726,AACNPDCK_00105,GMLEFHEO_00718,KFNCPDAP_00104,IGDBGLLD_02343,OMFMOMKF_01950,HODLAEJM_01589,AFHPBIAF_01429,LHCGKHIJ_02043,AJEFBAEL_02032,OCDCHEMI_00258,CJKJNNNG_00952,EIGELMEO_00013,NGNHBKMG_02296,MEOJENFF_01949,KEGECLGJ_00207,AHOPDIHB_01891,CJININDG_02097,NDOGBOAP_02131,OAPFOPAL_01900,ACJGFGPL_02138,JGGIPLAJ_01970,PLGHJMOG_00914,LJBGMHMC_01603,DKGGAEON_01766,LIONBGAB_01603,BCBJMMFG_02245,FNKBOAAJ_01604,NBIGHBNP_01546,ABCKMHNF_01455,HAGCGINO_00067,HDNBEOBM_01619,CHKDFDKC_00020,FJKFCLGL_00022,BOLJFBOD_00022,KGEDCIMK_01357,OGANKOBH_00022,KHIGLMDP_01473,KCBPFIDL_01460,PGGCOMJD_00021,LDPIAJMB_00023,JHDPCHFA_00023,PGMBCLCL_01770,LEOIACCC_00909,OGHHNOBM_01646,HLJAHNNN_01391,HMAEAGFH_01598,JMBHJBPL_01907,LIOCNLML_00774,MMNKDKJC_00447,CIPIHPAA_01059,OHJNIDKA_01111,IHELPHKG_01308,JBLCIMDH_02342,OFEFOHCO_00440,BJBHHKKH_01314,HCNPNPGF_00014,BHFJFGML_02197,CCMCAHCO_01613,MLMKMFAK_00013,FMPCHCOO_00122,KDJAJFCO_00029,OHHPPKJL_00123,BADHAMCG_02077,DDALPCGJ_01613,HHABANBK_00189,IBMNCEGB_01447,OHPNAJOO_01020,CHPLCDPL_01745,EAOLOMHJ_00661,EKOBKANM_01536,DIAOIDPF_01494,IIDBPGJP_01719
group_2409,,putative AAA domain-containing protein,BHJAACOI_01339,HKMEEOOC_01424,GENJCMKD_01206,GGNGMLNM_00279,FLPOMCPC_01244,FLNKFIAL_01053,GCMCGMEO_01080,KKDHGCNG_00972,KEENHLLD_01137,JLFNHPIJ_00167,CODCKMBH_00152,KIHHBJFA_00523,NANKJKFF_00384,CCGNCHJI_00015,GOFIAKIM_00301,DGCFMGAJ_00074,AACCAIGM_00340,GMEDNMEP_00196,FLLDPPMF_01131,LNLCNHAK_00332,KNGAMNHF_00718,LKGNFBEP_01774,KICAILHA_01499,MCNPKDLJ_00646,AACNPDCK_01475,GMLEFHEO_01005,KFNCPDAP_01444,IGDBGLLD_01490,OMFMOMKF_01197,HODLAEJM_01097,AFHPBIAF_01931,LHCGKHIJ_01314,AJEFBAEL_01276,OCDCHEMI_01507,CJKJNNNG_01494,EIGELMEO_01444,NGNHBKMG_01192,MEOJENFF_00074,KEGECLGJ_01674,AHOPDIHB_01525,CJININDG_01408,NDOGBOAP_01168,OAPFOPAL_00074,ACJGFGPL_01891,JGGIPLAJ_01797,PLGHJMOG_01643,LJBGMHMC_00756,DKGGAEON_00596,LIONBGAB_00750,BCBJMMFG_00074,FNKBOAAJ_00727,NBIGHBNP_00884,ABCKMHNF_00507,HAGCGINO_00369,HDNBEOBM_00107,CHKDFDKC_01341,FJKFCLGL_01387,BOLJFBOD_01358,KGEDCIMK_00951,OGANKOBH_01387,KHIGLMDP_00422,KCBPFIDL_00081,PGGCOMJD_01301,LDPIAJMB_01358,JHDPCHFA_01422,PGMBCLCL_01685,LEOIACCC_01222,OGHHNOBM_00635,HLJAHNNN_00613,HMAEAGFH_00870,JMBHJBPL_00281,LIOCNLML_02396,MMNKDKJC_01712,CIPIHPAA_00541,OHJNIDKA_00238,IHELPHKG_00037,JBLCIMDH_00591,OFEFOHCO_01422,BJBHHKKH_00838,HCNPNPGF_00647,BHFJFGML_01536,CCMCAHCO_01915,MLMKMFAK_01228,FMPCHCOO_01028,KDJAJFCO_02077,OHHPPKJL_01332,BADHAMCG_01252,DDALPCGJ_00128,HHABANBK_00278,IBMNCEGB_00401,OHPNAJOO_01231,CHPLCDPL_00302,EAOLOMHJ_01179,EKOBKANM_00448,DIAOIDPF_00460,IIDBPGJP_00242
group_2406,,hypothetical protein,BHJAACOI_00089,HKMEEOOC_00088,GENJCMKD_02206,GGNGMLNM_02036,FLPOMCPC_02014,FLNKFIAL_01972,GCMCGMEO_02041,KKDHGCNG_02110,KEENHLLD_02365,JLFNHPIJ_01712,CODCKMBH_01872,KIHHBJFA_02088,NANKJKFF_01621,CCGNCHJI_01623,GOFIAKIM_01483,DGCFMGAJ_01663,AACCAIGM_01533,GMEDNMEP_01610,FLLDPPMF_01271,LNLCNHAK_01114,KNGAMNHF_01728,LKGNFBEP_00410,KICAILHA_00094,MCNPKDLJ_01711,AACNPDCK_00090,GMLEFHEO_00733,KFNCPDAP_00089,IGDBGLLD_02329,OMFMOMKF_01965,HODLAEJM_01574,AFHPBIAF_01443,LHCGKHIJ_02057,AJEFBAEL_02046,OCDCHEMI_00273,CJKJNNNG_00967,EIGELMEO_00028,NGNHBKMG_02281,MEOJENFF_01934,KEGECLGJ_00193,AHOPDIHB_01876,CJININDG_02112,NDOGBOAP_02145,OAPFOPAL_01915,ACJGFGPL_02123,JGGIPLAJ_01984,PLGHJMOG_00899,LJBGMHMC_01617,DKGGAEON_01779,LIONBGAB_01589,BCBJMMFG_02230,FNKBOAAJ_01619,NBIGHBNP_01531,ABCKMHNF_01441,HAGCGINO_00048,HDNBEOBM_01105,CHKDFDKC_00007,FJKFCLGL_00007,BOLJFBOD_00007,KGEDCIMK_01371,OGANKOBH_00007,KHIGLMDP_01488,KCBPFIDL_01474,PGGCOMJD_00007,LDPIAJMB_00007,JHDPCHFA_00007,PGMBCLCL_01786,LEOIACCC_00925,OGHHNOBM_01630,HLJAHNNN_01376,HMAEAGFH_01584,JMBHJBPL_02251,LIOCNLML_00763,MMNKDKJC_00461,CIPIHPAA_01073,OHJNIDKA_01122,IHELPHKG_01295,JBLCIMDH_02328,OFEFOHCO_00722,BJBHHKKH_01328,HCNPNPGF_00028,BHFJFGML_02211,CCMCAHCO_00623,MLMKMFAK_00027,FMPCHCOO_00108,KDJAJFCO_00043,OHHPPKJL_00108,BADHAMCG_00037,DDALPCGJ_01626,HHABANBK_00176,IBMNCEGB_01433,OHPNAJOO_01032,CHPLCDPL_01759,EAOLOMHJ_00194,EKOBKANM_01524,DIAOIDPF_01482,IIDBPGJP_01733
rpsO,rpsO,30S ribosomal protein S15,BHJAACOI_01218,HKMEEOOC_01549,GENJCMKD_01628,GGNGMLNM_00402,FLPOMCPC_01122,FLNKFIAL_01174,GCMCGMEO_01204,KKDHGCNG_00848,KEENHLLD_00595,JLFNHPIJ_00289,CODCKMBH_00272,KIHHBJFA_00644,NANKJKFF_00504,CCGNCHJI_00135,GOFIAKIM_00181,DGCFMGAJ_00195,AACCAIGM_00220,GMEDNMEP_00316,FLLDPPMF_00086,LNLCNHAK_00210,KNGAMNHF_00840,LKGNFBEP_01650,KICAILHA_01622,MCNPKDLJ_00770,AACNPDCK_01599,GMLEFHEO_01129,KFNCPDAP_01320,IGDBGLLD_01148,OMFMOMKF_01851,HODLAEJM_00825,AFHPBIAF_00741,LHCGKHIJ_01175,AJEFBAEL_00706,OCDCHEMI_01073,CJKJNNNG_01140,EIGELMEO_01321,NGNHBKMG_00246,MEOJENFF_01584,KEGECLGJ_01296,AHOPDIHB_01204,CJININDG_00788,NDOGBOAP_01501,OAPFOPAL_01828,ACJGFGPL_00743,JGGIPLAJ_01237,PLGHJMOG_01749,LJBGMHMC_00636,DKGGAEON_00476,LIONBGAB_00630,BCBJMMFG_00197,FNKBOAAJ_00604,NBIGHBNP_00763,ABCKMHNF_00382,HAGCGINO_00728,HDNBEOBM_00820,CHKDFDKC_01463,FJKFCLGL_01511,BOLJFBOD_01478,KGEDCIMK_01998,OGANKOBH_01507,KHIGLMDP_00302,KCBPFIDL_02431,PGGCOMJD_01421,LDPIAJMB_01485,JHDPCHFA_01550,PGMBCLCL_00741,LEOIACCC_00562,OGHHNOBM_00764,HLJAHNNN_00479,HMAEAGFH_00448,JMBHJBPL_00160,LIOCNLML_01687,MMNKDKJC_01833,CIPIHPAA_00646,OHJNIDKA_00768,IHELPHKG_01397,JBLCIMDH_00909,OFEFOHCO_01302,BJBHHKKH_00717,HCNPNPGF_02315,BHFJFGML_01656,CCMCAHCO_00949,MLMKMFAK_01348,FMPCHCOO_00822,KDJAJFCO_02199,OHHPPKJL_01453,BADHAMCG_01051,DDALPCGJ_00006,HHABANBK_00520,IBMNCEGB_00516,OHPNAJOO_01432,CHPLCDPL_00180,EAOLOMHJ_00374,EKOBKANM_00571,DIAOIDPF_00909,IIDBPGJP_00120
group_2399,,hypothetical protein,BHJAACOI_01106,HKMEEOOC_01664,GENJCMKD_01516,GGNGMLNM_00514,FLPOMCPC_01009,FLNKFIAL_01287,GCMCGMEO_01883,KKDHGCNG_00736,KEENHLLD_00707,JLFNHPIJ_00401,CODCKMBH_00384,KIHHBJFA_00757,NANKJKFF_00615,CCGNCHJI_00246,GOFIAKIM_00069,DGCFMGAJ_00307,AACCAIGM_00109,GMEDNMEP_00427,FLLDPPMF_00198,LNLCNHAK_00098,KNGAMNHF_00952,LKGNFBEP_01538,KICAILHA_01734,MCNPKDLJ_00882,AACNPDCK_01711,GMLEFHEO_01241,KFNCPDAP_01208,IGDBGLLD_01260,OMFMOMKF_00394,HODLAEJM_00713,AFHPBIAF_00629,LHCGKHIJ_01063,AJEFBAEL_00818,OCDCHEMI_01185,CJKJNNNG_01252,EIGELMEO_01209,NGNHBKMG_00752,MEOJENFF_01696,KEGECLGJ_01408,AHOPDIHB_01318,CJININDG_00676,NDOGBOAP_01613,OAPFOPAL_01716,ACJGFGPL_00855,JGGIPLAJ_01125,PLGHJMOG_01861,LJBGMHMC_00524,DKGGAEON_00364,LIONBGAB_00518,BCBJMMFG_00309,FNKBOAAJ_00492,NBIGHBNP_00651,ABCKMHNF_00270,HAGCGINO_01091,HDNBEOBM_00628,CHKDFDKC_01575,FJKFCLGL_01623,BOLJFBOD_01591,KGEDCIMK_01445,OGANKOBH_01619,KHIGLMDP_00190,KCBPFIDL_02279,PGGCOMJD_01533,LDPIAJMB_01599,JHDPCHFA_01662,PGMBCLCL_01900,LEOIACCC_01642,OGHHNOBM_00876,HLJAHNNN_00367,HMAEAGFH_00335,JMBHJBPL_00048,LIOCNLML_01579,MMNKDKJC_01943,CIPIHPAA_00858,OHJNIDKA_00938,IHELPHKG_00818,JBLCIMDH_00800,OFEFOHCO_01193,BJBHHKKH_00607,HCNPNPGF_02206,BHFJFGML_01766,CCMCAHCO_00184,MLMKMFAK_01459,FMPCHCOO_00929,KDJAJFCO_01697,OHHPPKJL_01562,BADHAMCG_00175,DDALPCGJ_00488,HHABANBK_00630,IBMNCEGB_02124,OHPNAJOO_01322,CHPLCDPL_00073,EAOLOMHJ_01850,EKOBKANM_02335,DIAOIDPF_02105,IIDBPGJP_00013
pyrB,pyrB,Aspartate carbamoyltransferase,BHJAACOI_01357,HKMEEOOC_01399,GENJCMKD_01188,GGNGMLNM_00261,FLPOMCPC_01262,FLNKFIAL_01035,GCMCGMEO_01062,KKDHGCNG_00991,KEENHLLD_01155,JLFNHPIJ_00148,CODCKMBH_00133,KIHHBJFA_00495,NANKJKFF_01567,CCGNCHJI_01381,GOFIAKIM_01289,DGCFMGAJ_00056,AACCAIGM_00358,GMEDNMEP_00167,FLLDPPMF_01149,LNLCNHAK_00350,KNGAMNHF_00700,LKGNFBEP_01792,KICAILHA_01480,MCNPKDLJ_00628,AACNPDCK_01457,GMLEFHEO_00987,KFNCPDAP_01462,IGDBGLLD_01472,OMFMOMKF_01225,HODLAEJM_01115,AFHPBIAF_01949,LHCGKHIJ_01343,AJEFBAEL_01258,OCDCHEMI_01530,CJKJNNNG_01466,EIGELMEO_01462,NGNHBKMG_01210,MEOJENFF_00056,KEGECLGJ_01647,AHOPDIHB_01543,CJININDG_01426,NDOGBOAP_01150,OAPFOPAL_00056,ACJGFGPL_01873,JGGIPLAJ_01815,PLGHJMOG_01625,LJBGMHMC_00774,DKGGAEON_00615,LIONBGAB_00768,BCBJMMFG_00056,FNKBOAAJ_00745,NBIGHBNP_00902,ABCKMHNF_00966,HAGCGINO_00351,HDNBEOBM_00125,CHKDFDKC_01323,FJKFCLGL_01369,BOLJFBOD_01329,KGEDCIMK_00969,OGANKOBH_01359,KHIGLMDP_00440,KCBPFIDL_00099,PGGCOMJD_01283,LDPIAJMB_01335,JHDPCHFA_01396,PGMBCLCL_00987,LEOIACCC_02139,OGHHNOBM_00612,HLJAHNNN_00641,HMAEAGFH_00895,JMBHJBPL_00304,LIOCNLML_02369,MMNKDKJC_01687,CIPIHPAA_00569,OHJNIDKA_00211,IHELPHKG_00528,JBLCIMDH_00617,OFEFOHCO_02336,BJBHHKKH_00862,HCNPNPGF_00672,BHFJFGML_01511,CCMCAHCO_01890,MLMKMFAK_01204,FMPCHCOO_01003,KDJAJFCO_01830,OHHPPKJL_01308,BADHAMCG_01276,DDALPCGJ_00155,HHABANBK_01122,IBMNCEGB_00374,OHPNAJOO_00736,CHPLCDPL_00327,EAOLOMHJ_01911,EKOBKANM_00420,DIAOIDPF_00962,IIDBPGJP_00266
